id,rank,pick,name,position,team,bye,ADP,STD,HIGH,LOW
113,113,10.02,Courtland Sutton,WR,DEN,10,110.3,8,7.03,11.06
114,114,10.02,Dede Westbrook,WR,JAX,10,110.4,8,8.01,11.08
115,115,10.04,Carlos Hyde,RB,KC,12,111.6,8.7,7.11,11.12
116,116,10.05,Jacksonville Defense,DEF,JAX,10,112.7,7,8.05,11.1
117,117,10.05,Keke Coutee,WR,HOU,10,112.7,7.8,8.01,11.08
118,118,10.05,Jameis Winston,QB,TB,7,113.4,8.4,8.09,12.09
119,119,10.08,Austin Hooper,TE,ATL,9,115.8,17.1,7.04,14.11
120,120,10.08,T.J. Hockenson,TE,DET,5,115.9,18,7.01,13.08
121,121,10.08,Philip Rivers,QB,LAC,12,116.3,8.8,7.06,12.09
122,122,10.11,James Washington,WR,PIT,7,119.4,8,8.12,12.06
123,123,10.12,LA Chargers Defense,DEF,LAC,12,120.2,5.8,9.12,11.12
124,124,10.12,Adrian Peterson,RB,WAS,10,120.2,11.5,7.07,12.12
125,125,10.12,Emmanuel Sanders,WR,DEN,10,120.2,9.1,6.1,12.07
126,126,10.12,DeSean Jackson,WR,PHI,10,120.3,8.3,8.08,12.02
127,127,11.01,Ben Roethlisberger,QB,PIT,7,121.1,11,7.11,12.11
128,128,11.03,Marquez Valdes-Scantling,WR,GB,11,122.6,9.4,8.01,12.08
129,129,11.03,Devin Singletary,RB,FA,12,123.2,9.2,8.05,12.12
130,130,11.03,Tom Brady,QB,NE,10,123.4,11.7,7.01,14.08
131,131,11.06,Curtis Samuel,WR,CAR,7,125.6,7.9,8.01,12.11
132,132,11.07,Alexander Mattison,RB,MIN,12,126.5,11.2,8.03,13.01
133,133,11.07,Baltimore Defense,DEF,BAL,8,126.6,10.8,7.01,14.04
134,134,11.1,Tyrell Williams,WR,OAK,6,129.9,8.1,8.05,13.01
135,135,11.1,Peyton Barber,RB,TB,7,130.4,13.8,6.08,15.01
136,136,11.11,Jimmy Garoppolo,QB,SF,4,131.4,8.4,9.04,13.11
137,137,11.12,Damien Harris,RB,FA,12,131.7,10.6,8.09,14.03
138,138,11.12,Parris Campbell,WR,IND,6,132.1,10.2,7.01,13.01
139,139,11.12,Cleveland Defense,DEF,CLE,7,132.5,8.4,10.04,14.09
140,140,12.01,Dak Prescott,QB,DAL,8,133,11.3,8.1,15.07
141,141,12.02,Nyheim Hines,RB,IND,6,134.3,10.9,8.03,14.11
142,142,12.03,Josh Allen,QB,BUF,6,134.7,8.9,9.03,13.12
143,143,12.05,Minnesota Defense,DEF,MIN,12,136.7,8.9,11.01,14.02
144,144,12.05,Anthony Miller,WR,CHI,6,137,10,9.03,14.09
145,145,12.09,Houston Defense,DEF,HOU,10,140.6,10.9,10.08,15.02
146,146,12.09,Dion Lewis,RB,TEN,11,141.1,13.9,9.12,15.07
147,147,12.1,Devin Funchess,WR,IND,6,142.2,11,9.1,15.03
148,148,12.11,Delanie Walker,TE,TEN,11,142.6,18.8,7.1,15.1
149,149,12.11,Daesean Hamilton,WR,DEN,10,142.8,10.9,9.12,15.01
150,150,12.12,Kirk Cousins,QB,MIN,12,144.3,9.9,10.08,15.02
151,151,13.03,Darwin Thompson,RB,KC,12,146.6,13.3,11.06,14.1
152,152,13.04,Greg Zuerlein,PK,LAR,9,148,8.5,9.01,14.05
153,153,13.04,Greg Olsen,TE,CAR,7,148,17.9,7.12,15.1
154,154,13.05,Justice Hill,RB,FA,12,149.5,15,8.07,15.06
155,155,13.06,Harrison Butker,PK,KC,12,149.9,12.5,8.11,14.06
156,156,13.06,Donte Moncrief,WR,PIT,7,150,14.1,9.01,15.08
157,157,13.06,Dallas Defense,DEF,DAL,8,150.1,13.6,11.05,15.12
158,158,13.07,Kyle Rudolph,TE,MIN,12,150.9,20.5,7.09,16.02
159,159,13.07,Justin Tucker,PK,BAL,8,151.3,8.1,10.06,14.06
160,160,13.08,Mitch Trubisky,QB,CHI,6,151.8,12.1,9.01,15.12
161,161,13.08,Andy Isabella,WR,ARI,12,151.9,11.2,10.09,15.01
162,162,13.08,Kaimi Fairbairn,PK,HOU,10,151.9,11.6,11.01,14.1
163,163,13.09,Marquise Brown,WR,FA,12,153.5,13,10.12,15.05
164,164,13.1,Wil Lutz,PK,NO,9,154.1,6.1,12.07,14.08
165,165,13.11,Lamar Jackson,QB,BAL,8,154.8,12.4,10.02,15.1
166,166,13.12,Matt Breida,RB,SF,4,156,15.6,9.06,15.12
167,167,13.12,Malcolm Brown,RB,LAR,9,156.2,14.8,11.03,16.05
168,168,14.02,Duke Johnson,RB,CLE,7,157.5,14.9,10.11,15.12
169,169,14.02,Derek Carr,QB,OAK,6,157.8,15,9.08,15.12
170,170,14.02,Jimmy Graham,TE,GB,11,158,18.6,8.08,15.12
171,171,14.02,Kalen Ballage,RB,MIA,5,158.4,16.7,9.12,15.12
172,172,14.03,DeVante Parker,WR,MIA,5,158.6,13,9.04,15.12
173,173,14.03,Jack Doyle,TE,IND,6,158.8,16.8,11.07,15.12
174,174,14.03,Jordan Reed,TE,WAS,10,158.9,20.1,10.02,15.12
175,175,14.04,Trey Burton,TE,CHI,6,159.6,23.9,5.03,15.12
176,176,14.04,Noah Fant,TE,FA,12,160,19.2,7.1,15.12
177,177,14.04,CJ Anderson,RB,DET,5,160.2,16.9,9.01,15.12
178,178,14.04,Mike Davis,RB,CHI,6,160.3,14.3,10.08,15.1
179,179,14.05,Stephen Gostkowski,PK,NE,10,160.8,11.3,8.08,15.11
180,180,14.05,Chris Thompson,RB,WAS,10,161,15.1,11.04,15.12
181,181,14.06,Ryquell Armstead,RB,JAX,10,161.8,18.6,9.06,15.12
182,182,14.06,Robert Foster,WR,BUF,6,162.1,11.2,12.02,15.12
183,183,14.06,Sam Darnold,QB,NYJ,4,162.2,10.4,13.01,15.11
184,184,14.06,Denver Defense,DEF,DEN,10,162.2,11.7,11.05,16.04
185,185,14.07,Mark Andrews,TE,BAL,8,163.2,14.8,11.03,15.11
186,186,14.08,Jamaal Williams,RB,GB,11,163.5,18.7,7.03,16.1
